1,49,0.16713
1,38,0.18775
1,5,0.21424
1,8,0.22166
1,36,0.22557
2,22,0.18869
3,21,0.035965
3,32,0.10115
3,41,0.16167
4,41,0.075735
4,21,0.11402
4,50,0.11674
4,3,0.12064
4,46,0.14213
5,38,0.050677
5,36,0.10168
5,8,0.10793
5,23,0.12776
5,43,0.20552
6,47,0.028706
6,16,0.076544
6,44,0.10385
6,24,0.12563
7,35,0.063686
7,45,0.1062
7,9,0.10639
7,29,0.15094
7,31,0.15482
8,36,0.0088394
8,23,0.13604
8,49,0.14529
9,29,0.053565
9,35,0.057326
9,45,0.0705
9,31,0.095043
10,11,0.1669
10,14,0.17854
10,2,0.18351
10,12,0.21603
11,2,0.070256
11,29,0.15848
11,31,0.16576
12,14,0.055564
13,8,0.18034
13,36,0.18883
13,12,0.20049
14,34,0.15196
14,42,0.19694
15,19,0.08597
15,24,0.31207
16,47,0.08245
16,37,0.14681
16,17,0.15296
17,27,0.062235
17,25,0.11325
18,33,0.208
18,20,0.26858
19,24,0.2398
19,44,0.27875
20,28,0.20524
20,48,0.21541
20,40,0.24004
21,32,0.12841
21,46,0.19418
22,29,0.11054
22,26,0.14949
23,43,0.078465
23,36,0.1277
23,38,0.14302
24,44,0.040266
24,37,0.14769
25,48,0.14279
25,27,0.14635
25,28,0.16429
26,45,0.11263
26,35,0.14446
26,7,0.17879
26,9,0.18313
27,48,0.097523
27,28,0.11273
27,34,0.1156
28,48,0.022647
28,40,0.059594
28,17,0.15652
29,31,0.062862
29,35,0.11039
29,45,0.12007
30,37,0.13601
30,39,0.14667
30,47,0.1617
30,16,0.17463
31,35,0.13924
31,45,0.16502
32,4,0.21704
32,41,0.26276
33,30,0.18682
33,25,0.20299
33,16,0.30722
34,40,0.061593
35,45,0.04579
35,22,0.11171
36,49,0.15382
37,44,0.10791
38,36,0.063405
38,8,0.066858
38,49,0.17083
39,33,0.22402
39,37,0.225
39,46,0.23644
39,47,0.28189
40,27,0.12142
40,17,0.17929
41,46,0.067482
41,21,0.13833
41,50,0.17918
42,10,0.12541
42,43,0.14179
42,12,0.2023
44,47,0.10556
45,22,0.076239
46,3,0.22232
46,50,0.23432
47,24,0.13482
48,17,0.13618
49,13,0.096683
50,3,0.2005
50,21,0.21129
