1,30,0.2533
1,23,0.34267
1,43,0.41123
1,35,0.4431
1,9,0.44415
2,16,0.052057
2,31,0.052917
2,47,0.092691
2,15,0.093862
2,37,0.11596
3,26,0.10556
3,42,0.12456
3,37,0.14664
3,47,0.17552
4,43,0.089867
4,24,0.094389
4,35,0.096813
4,19,0.12057
4,23,0.15372
5,27,0.030981
5,44,0.16839
5,22,0.18575
5,3,0.28465
7,18,0.040315
7,36,0.12442
7,49,0.12767
7,41,0.19008
7,40,0.20804
8,17,0.22178
9,34,0.015013
9,6,0.1922
9,33,0.24249
10,42,0.10396
10,47,0.10928
10,37,0.12043
10,16,0.12617
10,2,0.17128
11,45,0.17041
11,8,0.17945
11,46,0.21065
12,14,0.044824
12,32,0.086195
12,29,0.10101
12,39,0.11459
12,50,0.18989
13,19,0.061252
13,38,0.065993
13,15,0.15387
13,35,0.16911
13,31,0.17818
14,29,0.07215
14,39,0.096561
14,32,0.13071
14,50,0.21093
15,16,0.13973
16,31,0.10491
17,20,0.015738
17,3,0.18031
17,46,0.21782
18,36,0.084903
18,48,0.18363
18,25,0.19901
19,35,0.1129
19,38,0.11983
19,43,0.14411
20,3,0.17889
20,46,0.22336
21,25,0.046751
21,48,0.12824
21,15,0.13652
21,36,0.14888
21,2,0.15766
22,42,0.17357
22,27,0.21467
23,24,0.10618
23,43,0.14954
23,35,0.18718
23,30,0.19486
24,43,0.15377
24,35,0.17778
24,40,0.1815
25,48,0.082683
25,15,0.18297
26,31,0.15699
27,44,0.17047
27,32,0.30437
27,3,0.30813
28,17,0.058535
28,20,0.07395
28,8,0.21085
29,39,0.033235
29,32,0.18046
29,10,0.2189
30,43,0.17591
30,35,0.19999
31,15,0.062289
32,39,0.18437
33,6,0.12678
34,6,0.18882
34,33,0.24707
35,43,0.038901
36,48,0.098809
36,49,0.13783
37,47,0.028954
37,42,0.052834
37,26,0.078212
37,16,0.10955
38,31,0.14123
38,15,0.14124
38,2,0.19393
39,10,0.18626
40,41,0.1053
40,4,0.16359
40,19,0.17976
40,13,0.19756
41,24,0.19402
41,4,0.22477
41,18,0.22559
42,47,0.07189
42,26,0.10141
44,28,0.16668
44,22,0.20042
44,3,0.21462
46,8,0.048754
47,16,0.080774
49,18,0.1109
49,48,0.20888
50,32,0.16391
50,29,0.28278
50,39,0.30284
